tinh;huyen;xa;diaban;hoso;matv;m1ac2;m1ac3;m1ac4a;m1ac4b;age;m1ac6;m1ac7;m1ac7a;m1ac8;m1ac9;m1ac10a;m1ac10b;m2ac1;m2ac2;m2ac3a;m2ac3b;m2ac4;m2ac5;m2ac6;m2ac7;m2ac8;m2ac9;m2ac10;m2ac11a;m2ac11b;m2ac12a;m2ac12b;m2ac13a;m2ac13b;m2ac13c;m2ac13d;m2ac13e;m2ac13f;m2ac13g;m2ac13g1;m2ac13g2;m2ac13g3;m2ac13h;m2ac13i;m2ac13i1;m2ac13k;m2ac14;m2ac15;m2ac16;m3c1;m3c2;m3c3a;m3c3b;m3c4;m3c5;family_size;individual_income;total_household_income;consumption;consumption 2;consumption 3;consumption 4;consumption 5;consumption 6;consumption 7;total consumption;avr_consumption;wealth_fixed;wealth_durable;total_wealth;households_working_hours;num_workers;avg_working_hours_per_worker
101;1;3.0;1;14;1;1;1;10;1943;64;2.0;12;;1;;;;12;;9.0;0.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;2.0;;;1;4.0;3;42351.0;56468.0;3473.3;1146.0;36904.7;19786.0;18950.0;8150.0;3828.0;92238.0;30746.0;0.0;107450.0;107450.0;4320.0;2;2160.0
101;1;3.0;1;15;1;1;1;10;1946;61;2.0;12;;1;;;;12;;9.0;0.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;1.0;15.0;0.0;1;4.0;2;0.0;42351.0;2957.7;573.0;38741.9;21128.0;16235.0;7850.0;6072.0;93557.6;46778.8;0.0;68300.0;68300.0;3696.0;2;1848.0
101;1;9.0;19;20;1;1;1;10;1957;50;2.0;12;;1;;;;12;;3.0;0.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;2.0;;;2;;3;33979.0;47203.0;1993.9;0.0;22501.7;9160.0;10040.0;640.0;1740.0;46.075.600.000.000.000;15.358.533.333.333.300;0.0;29500.0;29500.0;3952.0;2;1976.0
101;1;15.0;50;13;1;1;1;12;1972;35;2.0;12;;2;;;;12;;10.0;0.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;2.0;;;2;;4;91855.0;163382.0;5259.8;0.0;51339.0;13487.0;17091.0;1800.0;4500.0;93476.8;23369.2;0.0;55150.0;55150.0;5232.0;2;2616.0
101;1;15.0;50;14;1;1;1;9;1980;27;2.0;12;;2;;;;12;;9.0;0.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;2.0;;;1;4.0;3;75290.0;152463.0;3567.4;764.0;52250.4;14020.0;22031.0;2200.0;2700.0;97532.8;32.510.933.333.333.300;0.0;46300.0;46300.0;4224.0;2;2112.0
101;1;15.0;50;15;1;1;1;4;1954;54;2.0;12;;1;;;;12;;9.0;0.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;2.0;;;1;4.0;4;47622.0;114443.0;4885.4;0.0;41726.7;18295.0;18515.0;1200.0;5880.0;90502.1;22.625.525;0.0;50000.0;50000.0;4224.0;2;2112.0
101;1;17.0;2;14;1;1;1;8;1950;57;2.0;12;;1;;;;12;;8.0;0.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;1.0;80.0;50.0;1;4.0;3;38112.0;38112.0;907.9;0.0;10542.1;2124.0;525.0;213.0;1608.0;15920.0;5.306.666.666.666.660;0.0;15400.0;15400.0;1440.0;1;1440.0
101;3;3.0;23;15;1;1;1;10;1961;46;2.0;12;;1;;;;12;;3.0;4.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;1.0;0.0;0.0;1;4.0;4;21372.0;33585.0;1790.9;172.9;19626.4;7102.0;3488.0;3600.0;2290.0;38070.2;9517.55;0.0;32150.0;32150.0;4704.0;2;2352.0
101;3;11.0;9;15;1;1;1;12;1950;57;2.0;12;;1;;;;9;;2.0;5.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0.0;5.0;1;4.0;5;40751.0;91591.0;2364.5;0.0;21110.5;6290.0;9395.0;5850.0;6420.0;51430.0;10286.0;0.0;351987.0;351987.0;12024.0;5;2404.8
101;3;11.0;9;19;1;1;1;-2;1919;89;2.0;12;;1;;;;5;;1.0;0.0;1.0;3;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0;2;1.0;0.0;15.0;2;;7;0.0;76609.0;2725.1;0.0;21805.2;7425.0;11910.0;2850.0;5712.0;52427.3;7.489.614.285.714.280;0.0;51306.0;51306.0;7392.0;3;2464.0
