;age;avg_log_income;G_t
0;25;91.683.718.733.563;9.589
1;26;9.192.967.464.698.950;9.828
2;27;9.283.568.882.578.410;10.760
3;28;9.149.213.177.290.310;9.407
4;29;9.463.987.621.676.680;12.887
5;30;9.383.221.483.179.140;11.887
6;31;9.337.926.790.766.920;11.361
7;32;9.249.321.549.580.680;10.398
8;33;935.084.397.448.869;11.509
9;34;9.491.743.789.482.910;13.250
10;35;9.351.375.886.130.650;11.515
11;36;9.415.333.136.640.520;12.275
12;37;91.799.511.940.869;9.701
13;38;9.274.985.763.053.470;10.668
14;39;9.476.062.401.425.610;13.044
15;40;9.381.906.516.175.690;11.872
16;41;9.488.833.958.621.310;13.211
17;42;963.593.226.129.666;15.305
18;43;9.552.063.807.896.480;14.074
19;44;9.489.788.964.094.380;13.224
20;45;9.573.288.666.324.170;14.376
21;46;9.644.390.663.256.910;15.435
22;47;9.685.029.179.368.420;16.075
23;48;9.637.101.009.261.200;15.323
24;49;9.848.590.885.209.240;18.932
25;50;9.704.011.784.319.830;16.383
26;51;9.751.152.900.770.310;17.174
27;52;96.675.902.496.026;15.797
28;53;963.934.827.466.991;15.357
29;54;9.739.835.800.421.190;16.981
30;55;9.927.090.265.546.130;20.478
31;56;9.604.912.048.404.450;14.837
32;57;9.757.065.747.159.010;17.276
33;58;9.633.818.441.155.620;15.273
34;59;9.601.928.000.581.340;14.793
35;60;9.782.489.670.774.830;17.721
36;61;9.658.648.739.315.710;15.657
37;62;9.409.776.853.489.620;12.207
38;63;9.665.662.294.124.490;15.767
39;64;9.488.715.498.117.080;13.210
40;65;9.412.368.350.732.980;12.239
41;66;9.821.943.681.976.380;18.434
42;67;9.720.089.588.116.930;16.649
43;68;9.385.199.628.202.160;11.911
44;69;9.531.499.660.076.440;13.787
45;70;968.113.084.362.762;16.013
46;71;9.064.516.585.992.030;8.643
47;72;9.616.314.206.159.670;15.008
48;73;9.293.385.183.457.940;10.866
49;74;9.081.885.094.995.040;8.795
50;75;10.246.306.472.913.600;28.178
51;76;9.555.651.892.019.770;14.124
52;77;975.668.509.876.195;17.269
53;78;10.151.248.660.345.000;25.623
54;79;9.641.153.864.879.070;15.385
55;80;9.414.916.343.195.990;12.270
56;81;9.632.864.150.489.250;15.258
57;82;9.643.470.713.546.210;15.421
58;83;9.782.127.310.490.470;17.714
59;84;987.007.692.841.615;19.343
60;85;11.148.866.180.920.600;69.485
61;86;9.147.748.350.063.810;9.393
62;87;10.413.192.548.633.400;33.296
63;88;8.233.768.709.217.090;3.766
64;89;11.109.982.213.246.600;66.835
65;90;;
66;91;913.140.538.388.804;9241.0
67;92;11.049.315.103.244.800;62.901
68;93;;
69;94;;
70;95;;
71;97;;
